sequence	16S_rRNA_Count	metadata_NSTI
ASV0227	1	0.082977
ASV0228	1	0.230096
ASV0229	1	0.153656
ASV0230	1	0.050682
ASV0231	1	0.15114
ASV0232	1	0.40760100000000005
ASV0233	3	0.127378
ASV0234	1	0.166245
ASV0235	3	0.002154
ASV0236	5	0.048728
ASV0237	1	0.304027
ASV0238	1	0.135632
ASV0239	8	0.0042380000000000004
ASV0240	2	0.21290900000000001
ASV0241	1	0.15365499999999999
ASV0242	5	0.00636
ASV0243	5	0.002575
ASV0244	3	0.06934
ASV0245	3	0.099365
ASV0246	3	0.067063
ASV0247	2	0.015305000000000001
ASV0248	1	0.037231
ASV0249	1	0.341118
ASV0250	1	0.154034
ASV0251	1	0.336119
ASV0252	1	0.096121
ASV0253	3	0.028717000000000003
ASV0254	1	0.22028699999999998
ASV0255	1	0.006308
ASV0256	1	0.126568
ASV0257	1	0.012116
ASV0258	2	0.08503
ASV0259	1	0.054461
ASV0260	10	4.713112000000001
ASV0261	6	0.10356300000000002
ASV0262	1	0.054246
ASV0263	1	0.105405
ASV0264	1	0.077017
ASV0265	4	0.054769000000000005
ASV0266	1	0.11246199999999999
ASV0267	5	0.07694400000000001
ASV0268	2	0.053274
ASV0269	1	0.044848
ASV0270	10	2.581495
ASV0271	1	0.038912999999999996
ASV0272	3	0.064312
ASV0273	1	0.44149499999999997
ASV0274	5	0.070243
ASV0275	5	0.067906
ASV0276	1	0.272185
ASV0277	1	0.213004
ASV0278	1	0.023313999999999998
ASV0279	1	0.048889
ASV0280	2	0.018575
ASV0281	1	0.106965
ASV0282	2	0.027068000000000002
ASV0283	1	0.023601
ASV0284	1	0.137798
ASV0285	1	0.151004
ASV0286	1	0.09191
ASV0287	5	0.01293
ASV0288	1	0.012251999999999999
ASV0289	5	0.021943999999999998
ASV0290	1	0.633555
ASV0291	1	0.010101
ASV0292	1	0.192911
ASV0293	1	0.037321
ASV0294	5	0.037622
ASV0295	1	0.6258560000000001
ASV0296	1	0.041047
ASV0297	1	0.18141400000000002
ASV0298	1	0.024242
ASV0299	1	0.11284000000000001
ASV0300	1	0.216358
ASV0301	1	0.055416999999999994
ASV0302	1	0.012253
ASV0303	1	0.085972
ASV0304	1	0.176258
ASV0305	1	0.015284
ASV0306	5	0.046452
ASV0307	6	0.006297
ASV0308	1	0.015013
ASV0309	1	0.189552
ASV0310	1	0.22023800000000002
ASV0311	1	0.012717000000000001
ASV0312	1	0.047807
ASV0313	1	0.085083
ASV0314	1	0.012167
ASV0315	1	0.030545
ASV0316	1	0.193267
ASV0317	5	0.0625
ASV0318	1	0.087713
ASV0319	1	0.050005
ASV0320	1	0.122297
ASV0321	1	0.101813
ASV0322	5	0.046207
ASV0323	1	0.045808
ASV0324	1	0.08997899999999999
ASV0325	1	0.893808
ASV0326	1	0.159278
ASV0327	3	0.028581
ASV0328	1	0.15112899999999999
ASV0329	1	0.08914
ASV0330	2	0.072857
ASV0331	1	0.014280000000000001
ASV0332	1	0.076932
ASV0333	1	0.597507
ASV0334	5	0.029102
ASV0335	5	0.012479
ASV0336	1	0.025961
ASV0337	1	0.075175
ASV0338	5	0.017488
ASV0339	2	0.012941
ASV0340	1	0.181776
ASV0341	2	0.012802000000000001
ASV0342	5	0.00418
ASV0343	1	0.139427
ASV0344	6	0.0041789999999999996
ASV0345	1	0.2885
ASV0346	1	0.348404
ASV0347	1	0.148703
ASV0348	1	0.058036000000000004
ASV0349	1	0.428734
ASV0350	1	0.162379
ASV0351	1	0.018154
ASV0352	1	0.029664999999999997
ASV0353	1	0.168898
ASV0354	1	0.44149499999999997
ASV0355	1	0.038636000000000004
ASV0356	1	0.139221
ASV0357	1	0.179548
ASV0358	5	0.044045
ASV0359	1	0.08525
ASV0360	1	0.179794
ASV0361	5	0.013027
ASV0362	2	0.006364
ASV0363	1	0.06322799999999999
ASV0364	1	0.046247
ASV0365	1	0.258062
ASV0366	1	0.080662
ASV0367	2	0.010825
ASV0368	2	0.011016
ASV0369	1	0.328621
ASV0370	1	0.026073000000000002
ASV0371	1	0.044485000000000004
ASV0372	1	0.212432
ASV0373	1	0.002139
ASV0374	1	0.059512
ASV0375	1	0.01414
ASV0376	3	0.057277
ASV0377	1	0.180513
ASV0378	1	0.329727
ASV0379	1	0.02585
ASV0380	1	0.15873299999999999
ASV0381	1	0.017181000000000002
